Date,Open,Close,Diff,ShortMA,LongMA,Trend,Unusual
2015-04-23,2107.21,2112.93,0.271,2088.68,2066.05,1,0.0
2015-04-24,2112.8,2117.69,0.231,2089.67,2066.55,1,0.0
2015-04-27,2119.29,2108.92,-0.489,2090.08,2067.11,1,0.0
2015-04-28,2108.35,2114.76,0.304,2090.43,2067.59,1,0.0
2015-04-29,2112.49,2106.85,-0.267,2090.56,2067.91,1,0.0
2015-04-30,2105.52,2085.51,-0.95,2090.28,2068.05,0,0.0
2015-05-01,2087.38,2108.29,1.002,2090.49,2068.38,1,0.0
2015-05-04,2110.23,2114.49,0.202,2090.58,2068.92,1,0.0
2015-05-05,2112.63,2089.46,-1.097,2090.17,2069.22,0,0.0
2015-05-06,2091.26,2080.15,-0.531,2089.47,2069.76,0,0.0
2015-05-07,2079.96,2088.0,0.387,2088.95,2070.28,0,0.0
2015-05-08,2092.13,2116.1,1.146,2089.06,2071.42,1,0.0
2015-05-11,2115.56,2105.33,-0.484,2089.07,2072.58,1,0.0
2015-05-12,2102.87,2099.12,-0.178,2088.71,2073.84,1,0.0
2015-05-13,2099.62,2098.48,-0.054,2088.52,2074.7,1,0.0
2015-05-14,2100.43,2121.1,0.984,2088.97,2075.3,1,0.0
2015-05-15,2122.07,2122.73,0.031,2089.41,2075.82,1,0.0
2015-05-18,2121.3,2129.2,0.372,2090.57,2076.32,1,0.0
2015-05-19,2129.45,2127.83,-0.076,2091.54,2076.78,1,0.0
2015-05-20,2127.79,2125.85,-0.091,2093.17,2077.22,1,0.0
2015-05-21,2125.55,2130.82,0.248,2094.98,2077.64,1,0.0
2015-05-22,2130.36,2126.06,-0.202,2096.18,2077.99,1,0.0
2015-05-26,2125.34,2104.2,-0.995,2097.2,2078.23,1,0.0
2015-05-27,2105.13,2123.48,0.872,2098.04,2078.88,1,0.0
2015-05-28,2122.27,2120.79,-0.07,2098.97,2079.5,1,0.0
2015-05-29,2120.66,2107.39,-0.626,2099.13,2080.37,1,0.0
2015-06-01,2108.64,2111.73,0.147,2099.58,2081.46,1,0.0
2015-06-02,2110.41,2109.6,-0.038,2099.61,2082.3,1,0.0
2015-06-03,2110.64,2114.07,0.163,2099.8,2082.82,1,0.0
2015-06-04,2112.35,2095.84,-0.782,2099.89,2083.33,0,0.0
2015-06-05,2095.09,2092.83,-0.108,2100.53,2083.98,0,0.0
2015-06-08,2092.34,2079.28,-0.624,2100.99,2084.54,0,0.0
2015-06-09,2079.07,2080.15,0.052,2101.37,2085.23,0,0.0
2015-06-10,2081.12,2105.2,1.157,2101.75,2086.35,1,0.0
2015-06-11,2106.24,2108.86,0.124,2102.57,2087.25,1,0.0
2015-06-12,2107.43,2094.11,-0.632,2103.26,2087.96,0,0.0
2015-06-15,2091.34,2084.43,-0.33,2103.61,2088.49,0,0.0
2015-06-16,2084.26,2096.29,0.577,2103.92,2088.82,0,0.0
2015-06-17,2097.4,2100.44,0.145,2104.4,2089.3,0,0.0
2015-06-18,2101.58,2121.24,0.935,2105.19,2089.95,1,0.0
2015-06-19,2121.06,2109.99,-0.522,2105.57,2090.75,1,0.0
2015-06-22,2112.5,2122.85,0.49,2105.98,2091.96,1,0.0
2015-06-23,2123.16,2124.2,0.049,2106.62,2092.99,1,0.0
2015-06-24,2123.65,2108.58,-0.71,2106.87,2094.12,1,0.0
2015-06-25,2109.96,2102.31,-0.363,2106.79,2094.94,0,0.0
2015-06-26,2102.62,2101.49,-0.054,2106.72,2095.45,0,0.0
2015-06-29,2098.63,2057.64,-1.953,2106.25,2095.61,0,0.0
2015-06-30,2061.19,2063.11,0.093,2105.5,2095.62,0,0.0
2015-07-01,2067.0,2077.42,0.504,2105.1,2095.84,0,0.0
2015-07-02,2078.03,2076.78,-0.06,2104.48,2096.14,0,0.0
2015-07-06,2073.95,2068.76,-0.25,2103.6,2096.14,0,0.0
2015-07-07,2069.52,2081.34,0.571,2102.87,2096.27,0,0.0
2015-07-08,2077.66,2046.68,-1.491,2101.62,2095.85,0,0.0
2015-07-09,2049.73,2051.31,0.077,2100.36,2095.39,0,0.0
2015-07-10,2052.74,2076.62,1.163,2099.75,2095.16,0,0.0
2015-07-13,2080.03,2099.6,0.941,2100.03,2095.16,0,0.0
2015-07-14,2099.72,2108.95,0.44,2100.05,2095.27,1,0.0
2015-07-15,2109.01,2107.4,-0.076,2099.9,2095.24,1,0.0
2015-07-16,2110.55,2124.29,0.651,2100.6,2095.39,1,0.0
2015-07-17,2126.8,2126.64,-0.008,2101.53,2095.5,1,0.0
2015-07-20,2126.85,2128.28,0.067,2102.34,2095.64,1,0.0
2015-07-21,2127.55,2119.21,-0.392,2102.4,2095.73,1,0.0
2015-07-22,2118.21,2114.15,-0.192,2102.57,2095.82,1,0.0
2015-07-23,2114.16,2102.15,-0.568,2102.63,2095.67,0,0.0
2015-07-24,2102.24,2079.65,-1.075,2102.26,2095.39,0,0.0
2015-07-27,2078.19,2067.64,-0.508,2101.19,2095.08,0,0.0
2015-07-28,2070.75,2093.25,1.087,2100.6,2095.0,0,0.0
2015-07-29,2094.7,2108.57,0.662,2100.19,2095.38,1,0.0
2015-07-30,2106.78,2108.63,0.088,2099.8,2095.67,1,0.0
2015-07-31,2111.6,2103.84,-0.367,2099.36,2096.27,1,0.0
2015-08-03,2104.49,2098.04,-0.306,2098.71,2096.84,0,0.0
2015-08-04,2097.68,2093.32,-0.208,2098.05,2097.12,0,0.0
2015-08-05,2095.27,2099.84,0.218,2097.97,2097.58,1,0.0
2015-08-06,2100.75,2083.56,-0.818,2097.17,2097.61,-1,0.0
2015-08-07,2082.61,2077.57,-0.242,2096.3,2097.64,-1,0.0
2015-08-10,2080.98,2104.18,1.115,2096.24,2097.69,0,0.0
2015-08-11,2102.66,2084.07,-0.884,2095.68,2097.63,-1,0.0
2015-08-12,2081.1,2086.05,0.238,2095.21,2097.41,-1,0.0
2015-08-13,2086.19,2083.39,-0.134,2094.6,2097.2,-1,0.0
2015-08-14,2083.15,2091.54,0.403,2094.51,2097.2,-1,0.0
2015-08-17,2089.7,2102.44,0.61,2094.71,2097.62,0,0.0
2015-08-18,2101.99,2096.92,-0.241,2095.06,2098.02,0,0.0
2015-08-19,2095.69,2079.61,-0.767,2095.05,2098.21,-1,0.0
2015-08-20,2076.61,2035.73,-1.969,2093.66,2097.71,-1,0.0
2015-08-21,2034.08,1970.89,-3.107,2090.9,2096.74,-1,0.0
2015-08-24,1965.15,1893.21,-3.661,2086.88,2095.07,-1,0.0
2015-08-25,1898.08,1867.61,-1.605,2082.55,2093.08,-1,0.0
2015-08-26,1872.75,1940.51,3.618,2079.43,2091.68,-1,0.0
2015-08-27,1942.77,1987.66,2.311,2077.17,2090.79,-1,0.0
2015-08-28,1986.06,1988.87,0.141,2074.53,2089.86,-1,0.0
2015-08-31,1986.73,1972.18,-0.732,2071.77,2088.67,-1,0.0
2015-09-01,1970.09,1913.85,-2.855,2067.59,2086.79,-1,0.0
2015-09-02,1916.52,1948.86,1.687,2064.08,2085.35,-1,0.0
2015-09-03,1950.79,1951.13,0.017,2060.93,2083.9,-1,0.0
2015-09-04,1947.76,1921.22,-1.363,2057.31,2082.05,-1,0.0
2015-09-08,1927.3,1969.41,2.185,2054.67,2080.69,-1,0.0
2015-09-09,1971.45,1942.04,-1.492,2052.36,2079.3,-1,0.0
2015-09-10,1941.59,1952.29,0.551,2050.14,2077.82,-1,0.0
2015-09-11,1951.45,1961.05,0.492,2047.82,2076.46,-1,0.0
2015-09-14,1963.06,1953.03,-0.511,2045.34,2074.91,-1,0.0
2015-09-15,1955.1,1978.09,1.176,2043.53,2073.56,-1,0.0
2015-09-16,1978.02,1995.31,0.874,2041.81,2072.34,-1,0.0
2015-09-17,1995.33,1990.2,-0.257,2040.68,2071.15,-1,0.0
2015-09-18,1989.66,1958.03,-1.59,2038.81,2069.58,-1,0.0
2015-09-21,1960.84,1966.97,0.313,2036.62,2068.18,-1,0.0
2015-09-22,1961.39,1942.74,-0.951,2033.48,2066.76,-1,0.0
2015-09-23,1943.24,1938.76,-0.231,2030.08,2065.06,-1,0.0
2015-09-24,1934.81,1932.24,-0.133,2026.57,2063.24,-1,0.0
2015-09-25,1935.93,1931.34,-0.237,2022.72,2061.66,-1,0.0
2015-09-28,1929.18,1881.77,-2.458,2017.82,2059.67,-1,0.0
2015-09-29,1881.9,1884.09,0.116,2012.93,2057.63,-1,0.0
2015-09-30,1887.14,1920.03,1.743,2008.95,2055.67,-1,0.0
2015-10-01,1919.65,1923.82,0.217,2005.14,2053.86,-1,0.0
2015-10-02,1921.77,1951.36,1.54,2002.13,2052.38,-1,0.0
2015-10-05,1954.33,1987.05,1.674,2000.28,2051.27,-1,0.0
2015-10-06,1986.63,1979.92,-0.338,1998.52,2049.86,-1,0.0
2015-10-07,1982.34,1995.83,0.681,1996.57,2048.59,-1,0.0
2015-10-08,1994.01,2013.43,0.974,1994.67,2047.43,0,0.0
2015-10-09,2013.73,2014.89,0.058,1992.8,2046.3,0,0.0
2015-10-12,2015.65,2017.46,0.09,1991.07,2045.22,0,0.0
2015-10-13,2015.0,2003.69,-0.561,1989.18,2043.94,0,0.0
2015-10-14,2003.66,1994.24,-0.47,1987.2,2042.63,0,0.0
2015-10-15,1996.47,2023.86,1.372,1985.68,2041.82,0,0.0
2015-10-16,2024.37,2033.11,0.432,1984.67,2040.92,0,0.0
2015-10-19,2031.73,2033.66,0.095,1983.79,2040.05,0,0.0
2015-10-20,2033.13,2030.77,-0.116,1982.32,2039.28,0,0.0
2015-10-21,2033.47,2018.94,-0.715,1981.02,2038.35,0,0.0
2015-10-22,2021.88,2052.51,1.515,1980.35,2037.78,0,0.0
2015-10-23,2058.19,2075.15,0.824,1980.19,2037.39,0,0.0
2015-10-26,2075.08,2071.18,-0.188,1979.78,2037.15,0,0.0
2015-10-27,2068.75,2065.89,-0.138,1979.05,2036.88,0,0.0
2015-10-28,2066.48,2090.35,1.155,1978.92,2036.99,0,0.0
2015-10-29,2088.35,2089.41,0.051,1979.11,2037.08,0,0.0
2015-10-30,2090.0,2079.36,-0.509,1979.99,2036.82,0,0.0
2015-11-02,2080.76,2104.05,1.119,1982.65,2036.77,0,0.0
